track_id_x,track_name_x,track_number,track_popularity,explicit,artist_name_x,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,merge_key,artist_name_y,track_id_y,track_name_y,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_genre,is_chart_song
5YUyW9opqNsMSEzzecZih1,X,14,75,False,Nicky Jam,81,20568367,"reggaeton, latin",1CYQlkKE5Q0khU6eMwVAVt,Intimo,2019-11-01,15,album,2.88,x_nicky jam,Nicky Jam,39N9RPD9MRb5WmoLzNzPeA,X,0.0364,0.595,173628,0.773,0.00108,9,0.3339999999999999,-4.736000000000001,0,0.0549,180.07299999999998,4,0.711,83,,False
62vDrkBEyJYEOFj1ScBqM7,Sin Pijama,15,66,False,Becky G,74,16646605,"reggaeton, latin",13MHW8hoLFjX7SaVEVmj3X,MALA SANTA,2019-10-18,16,album,3.16,sin pijama_becky g,Becky G,2ijef6ni2amuunRoKTlgww,Sin Pijama,0.354,0.7909999999999999,188560,0.745,2.93e-05,11,0.104,-3.695,0,0.0464,94.014,4,0.82,85,,False
4tViDtaHuSLnh7HVJTrKhs,Power Over Me,3,65,False,Dermot Kennedy,68,1668880,,7jGNAMzrW5HMXdxl9XyBMG,Without Fear,2019-10-04,13,album,3.44,power over me_dermot kennedy,Dermot Kennedy,7iM7Zkf3uFQWE4IbjwYoN0,Power Over Me,0.0519,0.42,206960,0.843,0.0,9,0.106,-4.231,0,0.121,173.827,3,0.491,39,,False
4pfhgOylRLcBll5JjUsJZj,Let's Fall in Love for the Night,6,66,True,FINNEAS,69,2356803,,2b7DunZFOVCs0QgiTI1FJW,Blood Harmony,2019-10-04,7,album,3.17,let's fall in love for the night_finneas,FINNEAS,7kQkmyoHCEqwe7QwDbkSXM,Let's Fall in Love for the Night,0.802,0.737,190348,0.408,0.0,5,0.171,-7.941,1,0.104,127.921,4,0.374,70,electro,False
4pfhgOylRLcBll5JjUsJZj,Let's Fall in Love for the Night,6,66,True,FINNEAS,69,2356803,,2b7DunZFOVCs0QgiTI1FJW,Blood Harmony,2019-10-04,7,album,3.17,let's fall in love for the night_finneas,FINNEAS,7kQkmyoHCEqwe7QwDbkSXM,Let's Fall in Love for the Night,0.802,0.737,190348,0.408,0.0,5,0.171,-7.941,1,0.104,127.921,4,0.374,70,indie-pop,False
4pfhgOylRLcBll5JjUsJZj,Let's Fall in Love for the Night,6,66,True,FINNEAS,69,2356803,,2b7DunZFOVCs0QgiTI1FJW,Blood Harmony,2019-10-04,7,album,3.17,let's fall in love for the night_finneas,FINNEAS,7kQkmyoHCEqwe7QwDbkSXM,Let's Fall in Love for the Night,0.802,0.737,190348,0.408,0.0,5,0.171,-7.941,1,0.104,127.921,4,0.374,70,indie,False
3WGJSY8JaGliVIJyMig5aS,1999,4,55,False,Charli xcx,82,6322030,"hyperpop, art pop",386IqvSuljaZsMjwDGGdLj,Charli,2019-09-13,15,album,3.15,1999_charli xcx,Charli XCX,05mAIVLkIWc2d1UBYZBCp8,1999,0.0227,0.7390000000000001,189000,0.742,1.39e-06,7,0.2289999999999999,-4.586,1,0.0329,124.016,4,0.659,81,,False
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,12,81,False,Post Malone,85,47716988,"pop, hip hop, country",4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,17,album,2.62,sunflower - spider-man: into the spider-verse_post malone,Post Malone,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,0.52,0.7440000000000001,158040,0.494,0.0,2,0.0716,-5.563,1,0.0699,89.97200000000001,4,0.927,98,,False
7xQAfvXzm3AkraOtGPWIZg,Wow.,17,77,True,Post Malone,85,47716988,"pop, hip hop, country",4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,17,album,2.49,wow._post malone,Post Malone,6MWtB6iiXyIwun0YzU6DFP,Wow.,0.163,0.833,149520,0.539,2.1e-06,11,0.1009999999999999,-7.399,0,0.178,99.947,4,0.385,98,,True
0fB77VOZ2FkQeKLv1DuEwp,hope is a dangerous thing for a woman like me to have - but I have it,14,62,True,Lana Del Rey,88,51798111,"alternative pop, indie pop",5XpEKORZ4y6OrCZSKsi46A,Norman Fucking Rockwell!,2019-08-30,14,album,5.4,hope is a dangerous thing for a woman like me to have - but i have it_lana del rey,Lana Del Rey,1PfUKiMDKIlPEF9FfdJawc,hope is a dangerous thing for a woman like me to have - but I have it,0.965,0.492,324302,0.144,1.84e-06,7,0.161,-10.125,1,0.0708,164.83900000000003,3,0.2739999999999999,75,,True
